2026-05-01T19:52:08 | INFO     | trading_bot.cli | CLI invoked | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2026-05-01T19:52:08 | INFO     | trading_bot.cli | Dry-run mode — exiting without placing order
2026-05-01T19:59:11 | INFO     | trading_bot.cli | CLI invoked | symbol=BTCUSDT side=BUY type=MARKET qty=0.001 price=None stop=None
2026-05-01T19:59:11 | INFO     | trading_bot.orders | Placing BUY MARKET order | symbol=BTCUSDT qty=0.001 price=None stop=None
2026-05-01T19:59:11 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1777645751537}
2026-05-01T19:59:11 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order | status=200 body={"orderId":13096730389,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"eUMkY3xDPkHznNp8lfcmDe","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updat
2026-05-01T19:59:11 | INFO     | trading_bot.orders | Order placed successfully | orderId=13096730389 status=NEW executedQty=0.0000 avgPrice=0.00
2026-05-01T19:59:23 | INFO     | trading_bot.cli | CLI invoked | symbol=BTCUSDT side=SELL type=MARKET qty=0.001 price=None stop=None
2026-05-01T19:59:23 | INFO     | trading_bot.orders | Placing SELL MARKET order | symbol=BTCUSDT qty=0.001 price=None stop=None
2026-05-01T19:59:23 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order | params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1777645763374}
2026-05-01T19:59:23 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order | status=200 body={"orderId":13096730947,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"HM974Bh7LVsugdhQhKCRE9","price":"0.00","avgPrice":"0.00","origQty":"0.0010","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"upda
2026-05-01T19:59:23 | INFO     | trading_bot.orders | Order placed successfully | orderId=13096730947 status=NEW executedQty=0.0000 avgPrice=0.00
